,Query,Score,Classification Match,Manual Classification,Interaction,Discipline,Issue,Agent Name
10,Request for quote,23.0,0,Query,Query,"[Classification<prediction: ""Service"", confidence: 0.3219727, labels: {'Brand': LabelPrediction(confidence=0.18200946), 'People': LabelPrediction(confidence=0.13244271), 'Pricing': LabelPrediction(confidence=0.06911851), 'Product_Availability': LabelPrediction(confidence=0.061461326), 'Product_Foreign Body': LabelPrediction(confidence=0.02486516), 'Product_Generic': LabelPrediction(confidence=0.017445875), 'Product_Infestation': LabelPrediction(confidence=0.025078392), 'Product_Ingridients': LabelPrediction(confidence=0.045826573), 'Product_Packging': LabelPrediction(confidence=0.02287995), 'Product_Quality': LabelPrediction(confidence=0.015591465), 'Product_Sensory': LabelPrediction(confidence=0.018966574), 'Promotion': LabelPrediction(confidence=0.062341318), 'Service': LabelPrediction(confidence=0.3219727)}>]",Collaboration With ITC,Akbar
11,Hello. I am from Manipal university jaipur. This November we are having TEDex program in our university. Wanted to know the procedure for sponsorship.,22.0,0,Query,Query,"[Classification<prediction: ""Brand"", confidence: 0.3456774, labels: {'Brand': LabelPrediction(confidence=0.3456774), 'People': LabelPrediction(confidence=0.056330245), 'Pricing': LabelPrediction(confidence=0.060408194), 'Product_Availability': LabelPrediction(confidence=0.028547142), 'Product_Foreign Body': LabelPrediction(confidence=0.031951766), 'Product_Generic': LabelPrediction(confidence=0.021954909), 'Product_Infestation': LabelPrediction(confidence=0.036987793), 'Product_Ingridients': LabelPrediction(confidence=0.067798436), 'Product_Packging': LabelPrediction(confidence=0.024025181), 'Product_Quality': LabelPrediction(confidence=0.024965597), 'Product_Sensory': LabelPrediction(confidence=0.029515682), 'Promotion': LabelPrediction(confidence=0.19981365), 'Service': LabelPrediction(confidence=0.072024)}>]",Collaboration With ITC,Vijay
12,please call me 9603777767,3.0,0,Query,Query,"[Classification<prediction: ""Service"", confidence: 0.3246001, labels: {'Brand': LabelPrediction(confidence=0.19667219), 'People': LabelPrediction(confidence=0.15545662), 'Pricing': LabelPrediction(confidence=0.047132984), 'Product_Availability': LabelPrediction(confidence=0.060187034), 'Product_Foreign Body': LabelPrediction(confidence=0.023186186), 'Product_Generic': LabelPrediction(confidence=0.015194927), 'Product_Infestation': LabelPrediction(confidence=0.023977617), 'Product_Ingridients': LabelPrediction(confidence=0.04030629), 'Product_Packging': LabelPrediction(confidence=0.020415729), 'Product_Quality': LabelPrediction(confidence=0.015049427), 'Product_Sensory': LabelPrediction(confidence=0.018349662), 'Promotion': LabelPrediction(confidence=0.05947125), 'Service': LabelPrediction(confidence=0.3246001)}>]",Distributor not Supplying on time,Anthony
13,"Dear sir,  I bought a 10+1 kg pack of Aasirvad from the market yesterday, when I opened it, it came out with eczema. I am sorry that it would come so expensive and this condition.  I am shocked. Please resolve my problem.  Regards Gurupreet kuar Bagthala, kishangarh alwar  Rajasthan 301405 9783890987",74.0,0,Complaint,Complaint,"[Classification<prediction: ""Pricing"", confidence: 0.5573974, labels: {'Brand': LabelPrediction(confidence=0.04519714), 'People': LabelPrediction(confidence=0.039202444), 'Pricing': LabelPrediction(confidence=0.5573974), 'Product_Availability': LabelPrediction(confidence=0.03231237), 'Product_Foreign Body': LabelPrediction(confidence=0.024515295), 'Product_Generic': LabelPrediction(confidence=0.0351321), 'Product_Infestation': LabelPrediction(confidence=0.029512951), 'Product_Ingridients': LabelPrediction(confidence=0.038103953), 'Product_Packging': LabelPrediction(confidence=0.022096056), 'Product_Quality': LabelPrediction(confidence=0.027425075), 'Product_Sensory': LabelPrediction(confidence=0.03026993), 'Promotion': LabelPrediction(confidence=0.06607466), 'Service': LabelPrediction(confidence=0.052760597)}>]",Unusual Smell,Vijay
14,How can you cancel my order??,43.0,0,Query,Query,"[Classification<prediction: ""Service"", confidence: 0.32804096, labels: {'Brand': LabelPrediction(confidence=0.15008079), 'People': LabelPrediction(confidence=0.19229363), 'Pricing': LabelPrediction(confidence=0.0511875), 'Product_Availability': LabelPrediction(confidence=0.06742068), 'Product_Foreign Body': LabelPrediction(confidence=0.020531835), 'Product_Generic': LabelPrediction(confidence=0.0150331175), 'Product_Infestation': LabelPrediction(confidence=0.022224938), 'Product_Ingridients': LabelPrediction(confidence=0.037612423), 'Product_Packging': LabelPrediction(confidence=0.020875886), 'Product_Quality': LabelPrediction(confidence=0.013907136), 'Product_Sensory': LabelPrediction(confidence=0.01698616), 'Promotion': LabelPrediction(confidence=0.06380496), 'Service': LabelPrediction(confidence=0.32804096)}>]",Promo: Customer Enquiring On Promo Result / Query,Anthony
15,Costly hai is sai acha ek achi dairy lo us per apni photo print karwa lo sasta padega,44.0,1,Feedback,Query,"[Classification<prediction: ""Pricing"", confidence: 0.5642311, labels: {'Brand': LabelPrediction(confidence=0.03980779), 'People': LabelPrediction(confidence=0.036086697), 'Pricing': LabelPrediction(confidence=0.5642311), 'Product_Availability': LabelPrediction(confidence=0.030893128), 'Product_Foreign Body': LabelPrediction(confidence=0.024130294), 'Product_Generic': LabelPrediction(confidence=0.040455747), 'Product_Infestation': LabelPrediction(confidence=0.027779551), 'Product_Ingridients': LabelPrediction(confidence=0.039260365), 'Product_Packging': LabelPrediction(confidence=0.024722323), 'Product_Quality': LabelPrediction(confidence=0.026863527), 'Product_Sensory': LabelPrediction(confidence=0.02901399), 'Promotion': LabelPrediction(confidence=0.06976337), 'Service': LabelPrediction(confidence=0.04699215)}>]",Price,Anthony
16,How to do payment You’ll only be delivered There is only online payment aaa,72.0,0,Query,Query,"[Classification<prediction: ""Brand"", confidence: 0.38757956, labels: {'Brand': LabelPrediction(confidence=0.38757956), 'People': LabelPrediction(confidence=0.07041827), 'Pricing': LabelPrediction(confidence=0.06510433), 'Product_Availability': LabelPrediction(confidence=0.039571665), 'Product_Foreign Body': LabelPrediction(confidence=0.022368548), 'Product_Generic': LabelPrediction(confidence=0.013209817), 'Product_Infestation': LabelPrediction(confidence=0.023128191), 'Product_Ingridients': LabelPrediction(confidence=0.050378423), 'Product_Packging': LabelPrediction(confidence=0.015639473), 'Product_Quality': LabelPrediction(confidence=0.013738105), 'Product_Sensory': LabelPrediction(confidence=0.017493488), 'Promotion': LabelPrediction(confidence=0.099233195), 'Service': LabelPrediction(confidence=0.18213694)}>]",Unavailablity / Shortage,Akbar
17,Is anyone available to chat?,22.0,0,Query,Query,"[Classification<prediction: ""Brand"", confidence: 0.38656598, labels: {'Brand': LabelPrediction(confidence=0.38656598), 'People': LabelPrediction(confidence=0.070505336), 'Pricing': LabelPrediction(confidence=0.04950498), 'Product_Availability': LabelPrediction(confidence=0.05553047), 'Product_Foreign Body': LabelPrediction(confidence=0.024957875), 'Product_Generic': LabelPrediction(confidence=0.013067491), 'Product_Infestation': LabelPrediction(confidence=0.025590511), 'Product_Ingridients': LabelPrediction(confidence=0.051290248), 'Product_Packging': LabelPrediction(confidence=0.016095467), 'Product_Quality': LabelPrediction(confidence=0.016171051), 'Product_Sensory': LabelPrediction(confidence=0.02109007), 'Promotion': LabelPrediction(confidence=0.056683395), 'Service': LabelPrediction(confidence=0.21294713)}>]",Collaboration With ITC,Vijay
18,I have a question. Can you help?,105.0,0,Query,Query,"[Classification<prediction: ""Product_Ingridients"", confidence: 0.2241455, labels: {'Brand': LabelPrediction(confidence=0.16101173), 'People': LabelPrediction(confidence=0.05362995), 'Pricing': LabelPrediction(confidence=0.077515), 'Product_Availability': LabelPrediction(confidence=0.07135127), 'Product_Foreign Body': LabelPrediction(confidence=0.040140986), 'Product_Generic': LabelPrediction(confidence=0.027697023), 'Product_Infestation': LabelPrediction(confidence=0.029299108), 'Product_Ingridients': LabelPrediction(confidence=0.2241455), 'Product_Packging': LabelPrediction(confidence=0.031668004), 'Product_Quality': LabelPrediction(confidence=0.031670507), 'Product_Sensory': LabelPrediction(confidence=0.039309245), 'Promotion': LabelPrediction(confidence=0.08300545), 'Service': LabelPrediction(confidence=0.12955624)}>]",Halal,Anthony
19,Customer is looking for the distributorship,2.0,0,Query,Query,"[Classification<prediction: ""People"", confidence: 0.43762434, labels: {'Brand': LabelPrediction(confidence=0.04957545), 'People': LabelPrediction(confidence=0.43762434), 'Pricing': LabelPrediction(confidence=0.04525206), 'Product_Availability': LabelPrediction(confidence=0.07202903), 'Product_Foreign Body': LabelPrediction(confidence=0.020966321), 'Product_Generic': LabelPrediction(confidence=0.027886448), 'Product_Infestation': LabelPrediction(confidence=0.03221414), 'Product_Ingridients': LabelPrediction(confidence=0.031106832), 'Product_Packging': LabelPrediction(confidence=0.039528094), 'Product_Quality': LabelPrediction(confidence=0.02570754), 'Product_Sensory': LabelPrediction(confidence=0.027724806), 'Promotion': LabelPrediction(confidence=0.07483004), 'Service': LabelPrediction(confidence=0.1155549)}>]",New Distributorship Request W / O Details,Rustom
20,Customer is looking for the supply of ITC products,43.0,0,Query,Query,"[Classification<prediction: ""Service"", confidence: 0.3515677, labels: {'Brand': LabelPrediction(confidence=0.14783251), 'People': LabelPrediction(confidence=0.15787634), 'Pricing': LabelPrediction(confidence=0.04848246), 'Product_Availability': LabelPrediction(confidence=0.07584929), 'Product_Foreign Body': LabelPrediction(confidence=0.025299355), 'Product_Generic': LabelPrediction(confidence=0.016183266), 'Product_Infestation': LabelPrediction(confidence=0.024952268), 'Product_Ingridients': LabelPrediction(confidence=0.041812655), 'Product_Packging': LabelPrediction(confidence=0.022972379), 'Product_Quality': LabelPrediction(confidence=0.0155044105), 'Product_Sensory': LabelPrediction(confidence=0.018887954), 'Promotion': LabelPrediction(confidence=0.05277945), 'Service': LabelPrediction(confidence=0.3515677)}>]",Wholesale / Bulk Order,Anthony
21,"And after the notebook's leaves are finished, throw the book for recycling♻. And hence u and ur mind too go for recycling...",67.0,1,Feedback,Complaint,"[Classification<prediction: ""Product_Packging"", confidence: 0.3712166, labels: {'Brand': LabelPrediction(confidence=0.026833156), 'People': LabelPrediction(confidence=0.07222964), 'Pricing': LabelPrediction(confidence=0.026042568), 'Product_Availability': LabelPrediction(confidence=0.04713233), 'Product_Foreign Body': LabelPrediction(confidence=0.03773083), 'Product_Generic': LabelPrediction(confidence=0.1661035), 'Product_Infestation': LabelPrediction(confidence=0.022541165), 'Product_Ingridients': LabelPrediction(confidence=0.043422945), 'Product_Packging': LabelPrediction(confidence=0.3712166), 'Product_Quality': LabelPrediction(confidence=0.059887063), 'Product_Sensory': LabelPrediction(confidence=0.033804994), 'Promotion': LabelPrediction(confidence=0.054146554), 'Service': LabelPrediction(confidence=0.03890866)}>]",Sells Expired Products,Anthony
22,Hi beautiful,22.0,1,Query,Collaboration,"[Classification<prediction: ""Brand"", confidence: 0.44277036, labels: {'Brand': LabelPrediction(confidence=0.44277036), 'People': LabelPrediction(confidence=0.051787194), 'Pricing': LabelPrediction(confidence=0.04341334), 'Product_Availability': LabelPrediction(confidence=0.043287463), 'Product_Foreign Body': LabelPrediction(confidence=0.036780935), 'Product_Generic': LabelPrediction(confidence=0.015282869), 'Product_Infestation': LabelPrediction(confidence=0.03292864), 'Product_Ingridients': LabelPrediction(confidence=0.06231032), 'Product_Packging': LabelPrediction(confidence=0.018906333), 'Product_Quality': LabelPrediction(confidence=0.023086665), 'Product_Sensory': LabelPrediction(confidence=0.030888941), 'Promotion': LabelPrediction(confidence=0.058764383), 'Service': LabelPrediction(confidence=0.13979256)}>]",Collaboration With ITC,Vijay
23,Can we get both side customized photo,23.0,0,Query,Query,"[Classification<prediction: ""Service"", confidence: 0.30297956, labels: {'Brand': LabelPrediction(confidence=0.25796363), 'People': LabelPrediction(confidence=0.09830186), 'Pricing': LabelPrediction(confidence=0.051283836), 'Product_Availability': LabelPrediction(confidence=0.06264569), 'Product_Foreign Body': LabelPrediction(confidence=0.026543813), 'Product_Generic': LabelPrediction(confidence=0.01583688), 'Product_Infestation': LabelPrediction(confidence=0.024855455), 'Product_Ingridients': LabelPrediction(confidence=0.04915635), 'Product_Packging': LabelPrediction(confidence=0.020757416), 'Product_Quality': LabelPrediction(confidence=0.01645394), 'Product_Sensory': LabelPrediction(confidence=0.020278657), 'Promotion': LabelPrediction(confidence=0.0529429), 'Service': LabelPrediction(confidence=0.30297956)}>]",Collaboration With ITC,Jose
24,Do u hv any chocolate Making session going on in ITC Bangalore,3.0,0,Query,Query,"[Classification<prediction: ""Service"", confidence: 0.18459599, labels: {'Brand': LabelPrediction(confidence=0.15353693), 'People': LabelPrediction(confidence=0.15582442), 'Pricing': LabelPrediction(confidence=0.04579751), 'Product_Availability': LabelPrediction(confidence=0.09570887), 'Product_Foreign Body': LabelPrediction(confidence=0.019354105), 'Product_Generic': LabelPrediction(confidence=0.015093953), 'Product_Infestation': LabelPrediction(confidence=0.02210552), 'Product_Ingridients': LabelPrediction(confidence=0.06913264), 'Product_Packging': LabelPrediction(confidence=0.027590208), 'Product_Quality': LabelPrediction(confidence=0.014061223), 'Product_Sensory': LabelPrediction(confidence=0.018224576), 'Promotion': LabelPrediction(confidence=0.17897406), 'Service': LabelPrediction(confidence=0.18459599)}>]",New Distributorship Request W / O Details,Anthony
25,This happens when you buy ghee from ashirwad and made ghee at home. Impurities difference is quite visible. @AashirvaadAtta @FCI_India https://t.co/HpRg7bgQXg,68.0,0,Complaint,Complaint,"[Classification<prediction: ""Product_Quality"", confidence: 0.21731, labels: {'Brand': LabelPrediction(confidence=0.018954135), 'People': LabelPrediction(confidence=0.013325365), 'Pricing': LabelPrediction(confidence=0.019016556), 'Product_Availability': LabelPrediction(confidence=0.023272432), 'Product_Foreign Body': LabelPrediction(confidence=0.21704791), 'Product_Generic': LabelPrediction(confidence=0.11661844), 'Product_Infestation': LabelPrediction(confidence=0.048336837), 'Product_Ingridients': LabelPrediction(confidence=0.059942633), 'Product_Packging': LabelPrediction(confidence=0.10560074), 'Product_Quality': LabelPrediction(confidence=0.21731), 'Product_Sensory': LabelPrediction(confidence=0.12535582), 'Promotion': LabelPrediction(confidence=0.020677924), 'Service': LabelPrediction(confidence=0.01454119)}>]",Quality Feedback,Vijay
26,I have a question. Can you help?,105.0,0,Query,Query,"[Classification<prediction: ""Product_Ingridients"", confidence: 0.2241455, labels: {'Brand': LabelPrediction(confidence=0.16101173), 'People': LabelPrediction(confidence=0.05362995), 'Pricing': LabelPrediction(confidence=0.077515), 'Product_Availability': LabelPrediction(confidence=0.07135127), 'Product_Foreign Body': LabelPrediction(confidence=0.040140986), 'Product_Generic': LabelPrediction(confidence=0.027697023), 'Product_Infestation': LabelPrediction(confidence=0.029299108), 'Product_Ingridients': LabelPrediction(confidence=0.2241455), 'Product_Packging': LabelPrediction(confidence=0.031668004), 'Product_Quality': LabelPrediction(confidence=0.031670507), 'Product_Sensory': LabelPrediction(confidence=0.039309245), 'Promotion': LabelPrediction(confidence=0.08300545), 'Service': LabelPrediction(confidence=0.12955624)}>]",Halal,Vijay
27,"Hello Sir/Maam, SHOUTT (Show Us The Talent) is the largest inter-collegiate festival Mumbai offers. Organised by the Social and Dramatic Union, the biggest and the most happening talent based committee of Jai Hind College, it promises to be an event to remember.We believe our college fest will be the perfect opportunity to promote & extend your brand awareness with the right target audience. We would like to acknowledge your expectations so that we can Hyper Personalise the proposal for you. Please give us a call or revert back so that we can come to a mutually beneficial deal. Regards, ADITYA DESAI 9769697258 Thank You.",22.0,0,Query,Query,"[Classification<prediction: ""Brand"", confidence: 0.548571, labels: {'Brand': LabelPrediction(confidence=0.548571), 'People': LabelPrediction(confidence=0.037414137), 'Pricing': LabelPrediction(confidence=0.036644198), 'Product_Availability': LabelPrediction(confidence=0.027575597), 'Product_Foreign Body': LabelPrediction(confidence=0.033120226), 'Product_Generic': LabelPrediction(confidence=0.01747713), 'Product_Infestation': LabelPrediction(confidence=0.034144998), 'Product_Ingridients': LabelPrediction(confidence=0.055125277), 'Product_Packging': LabelPrediction(confidence=0.018618109), 'Product_Quality': LabelPrediction(confidence=0.024524352), 'Product_Sensory': LabelPrediction(confidence=0.029806439), 'Promotion': LabelPrediction(confidence=0.060016725), 'Service': LabelPrediction(confidence=0.076961815)}>]",Collaboration With ITC,Akbar
28,"Dear Team ,   Customer requested for purchase of Aashirvaad Atta 1kg, 2Kg  1 or 2 Pack for personal use at home . Assisted her to check ITC E-store and customer agreed hence solving ticket .   Name : Bhujji  Location: Khamman   Regards,  Chaitra R",73.0,0,Query,Query,"[Classification<prediction: ""Service"", confidence: 0.35370404, labels: {'Brand': LabelPrediction(confidence=0.14851457), 'People': LabelPrediction(confidence=0.15292375), 'Pricing': LabelPrediction(confidence=0.0490424), 'Product_Availability': LabelPrediction(confidence=0.086407706), 'Product_Foreign Body': LabelPrediction(confidence=0.025126876), 'Product_Generic': LabelPrediction(confidence=0.015418231), 'Product_Infestation': LabelPrediction(confidence=0.025286872), 'Product_Ingridients': LabelPrediction(confidence=0.03885936), 'Product_Packging': LabelPrediction(confidence=0.02128204), 'Product_Quality': LabelPrediction(confidence=0.01521808), 'Product_Sensory': LabelPrediction(confidence=0.018765079), 'Promotion': LabelPrediction(confidence=0.049451016), 'Service': LabelPrediction(confidence=0.35370404)}>]",Unavailablity / Shortage,Akbar
29,Customer is looking for the distributorship,2.0,0,Query,Query,"[Classification<prediction: ""People"", confidence: 0.43762434, labels: {'Brand': LabelPrediction(confidence=0.04957545), 'People': LabelPrediction(confidence=0.43762434), 'Pricing': LabelPrediction(confidence=0.04525206), 'Product_Availability': LabelPrediction(confidence=0.07202903), 'Product_Foreign Body': LabelPrediction(confidence=0.020966321), 'Product_Generic': LabelPrediction(confidence=0.027886448), 'Product_Infestation': LabelPrediction(confidence=0.03221414), 'Product_Ingridients': LabelPrediction(confidence=0.031106832), 'Product_Packging': LabelPrediction(confidence=0.039528094), 'Product_Quality': LabelPrediction(confidence=0.02570754), 'Product_Sensory': LabelPrediction(confidence=0.027724806), 'Promotion': LabelPrediction(confidence=0.07483004), 'Service': LabelPrediction(confidence=0.1155549)}>]",New Distributorship Request W / O Details,Rustom
